graduation_name,country
Educação Física,Brazil
Agronomia,Brazil
Sistemas Biomédicos,Brazil
Gestão Hospitalar,Brazil
Engenharia de Produção,Brazil
Turismo,Brazil
Design gráfico,Brazil
Língua Portuguesa,Brazil
Gestão da Qualidade,Brazil
Meliponicultura,Brazil
Energias Renováveis,Brazil
Fisioterapia,Brazil
Medicina,Brazil
Fotografia,Brazil
Produção Sucroalcooeira,Brazil
Ciência da Terra,Brazil
Ciências Sociais,Brazil
Produção de Bebidas,Brazil
Engenharia Elétrica,Brazil
Fruticultura,Brazil
Luteria,Brazil
Linguística,Brazil
Ciência e Economia,Brazil
Gastronomia,Brazil
Recursos Humanos,Brazil
Ciência e Tecnologia de Alimentos,Brazil
Ciências Aeronáuticas,Brazil
Energia e Sustentabilidade,Brazil
Sistemas Biomédicos,Brazil
Ecologia,Brazil
Animação,Brazil
Saúde Coletiva,Brazil
Língua Estrangeira,Brazil
Construção de Edifícios,Brazil
Enologia,Brazil
Hotelaria,Brazil
Segurança da Informação,Brazil
Segurança Pública,Brazil
Estética e Cosmética,Brazil
Língua Estrangeira,Brazil
Ciências Biológicas,Brazil
Comunicação Audiovisual e Multimídia,Brazil
Fonoaudiologia,Brazil
Sistemas da Informação,Brazil
Comunicação das Artes do Corpo,Brazil
Astronomia,Brazil
Serviço Social,Brazil
Biomedicina,Brazil
Forças Armadas,Brazil
Matemática,Brazil
Engenharia Industrial Madeireira,Brazil
Sistemas Elétricos,Brazil
Arqueologia,Brazil
Sistemas para Internet,Brazil
Ciência da Computação,Brazil
Comunicação em Mídias Digitais,Brazil
Matemática,Brazil
Relações Públicas,Brazil
Naturologia,Brazil
Ciências Biológicas,Brazil
Arquitetura,Brazil
Geologia,Brazil
Tradutor e Intérprete,Brazil
Tecnologia da Informação,Brazil
Engenharia Nuclear,Brazil
Agropecuária,Brazil
Comunicação Institucional,Brazil
Administração Pública,Brazil
Música,Brazil
Radiologia,Brazil
Relações Internacionais,Brazil
Forças Armadas,Brazil
Biocombustíveis,Brazil
Dança,Brazil
Secretariado,Brazil
Oceanografia,Brazil
Banco de Dados,Brazil
